caminho_original,caminho_processado,classe,classe_bruta,status_geral,origem_dataset,largura,altura,proporcao,tem_alpha,borda_fundo_estudio,borda_fracao_dessaturada
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082407.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.011
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082410.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.155
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082417.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.018
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082418.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.02
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082426.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.174
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082429.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.258
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082434.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.396
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082436.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.41
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082438.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.595
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082440.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.609
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082443.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.295
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082446.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.381
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082450.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.229
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082454.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.119
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082458.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.38
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082503.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.005
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082510.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.068
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082512.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.119
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082517.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.531
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082528.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.04
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082530.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.024
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082535.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.005
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082542.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.48
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082545.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.439
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082550.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.717
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082554.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.018
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082601.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.524
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082605.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.003
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082612.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.632
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082622.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.036
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082626.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.007
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082629.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.404
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082632.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.629
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082635.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.29
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082640.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.116
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082643.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082652.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.009
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082655.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.007
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082659.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.041
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082703.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.021
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082707.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082712.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.052
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082722.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.12
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082728.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.14
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082731.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082736.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082750.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.146
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082754.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082755.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.003
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082801.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.77
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082803.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.539
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082811.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.426
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082813.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.595
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200724_082819.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.394
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084132.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.209
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084134.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.269
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084139.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.188
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084146.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.241
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084157.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.31
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084158.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.321
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084211.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.332
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084213.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.366
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084218.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.264
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084226.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.213
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084229.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.201
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084233(0).jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.29
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084233.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.264
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084236.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.319
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084238.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.148
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084248.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.223
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084249.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.228
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084253.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.425
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084257.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.228
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084259.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.204
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084301.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.38
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084306.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.454
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084309.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.467
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084313.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.368
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084318.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.237
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084322.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.031
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084327.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.072
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084330.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.501
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084335.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.232
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084341.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.29
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084347.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.292
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084352.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.158
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084428.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.414
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084430.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.427
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084433.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.206
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084437.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.204
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084440.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.167
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084444.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.285
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084449.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.334
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084454.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.421
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084459.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.291
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084500.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.297
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084505.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.335
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084507.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.361
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084515.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.402
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084519.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.478
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084526.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.298
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084531.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.394
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084538.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.444
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084540.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.442
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084544.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.489
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084549.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.348
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084552.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.483
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084555.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.464
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084600.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.213
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084601.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.181
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084608.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.253
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084610.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.297
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084612.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.288
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084615.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.257
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084622.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.443
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_084628.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,True,0.322
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085643.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.003
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085646.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.0
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085650.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.008
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085653.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.002
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085656.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.002
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085658.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.019
C:\Users\Mauro\Documents\GitHub\blick-model\data\raw\internet\Corn Disease detection\Healthy corn\20200727_085703.jpg,,Saudavel,Healthy corn,saudavel,internet,3264,2448,1.333,False,False,0.002
